Designator,Mid X,Mid Y,Layer,Rotation
D3,-26.6,-16.2,bottom,90
D4,-64.65,-16.2,bottom,90
D5,-83.7,-16.2,bottom,90
D6,-102.75,-16.2,bottom,90
D7,-121.8,-16.2,bottom,90
D8,-150.4,-16.2,bottom,90
D9,-169.4,-16.2,bottom,90
D10,-188.45,-16.2,bottom,90
D11,-207.5,-16.2,bottom,90
D12,-236.1,-16.2,bottom,90
D13,-255.15,-16.2,bottom,90
D14,-274.2,-16.2,bottom,90
D15,-293.25,-16.2,bottom,90
D16,-319.25,-16.2,bottom,90
D17,-338.3,-16.2,bottom,90
D18,-357.35,-16.2,bottom,90
D21,-26.55,-54.3,bottom,90
D22,-45.6,-54.3,bottom,90
D23,-64.65,-54.3,bottom,90
D24,-83.7,-54.3,bottom,90
D25,-102.75,-54.3,bottom,90
D26,-121.8,-54.3,bottom,90
D27,-140.85,-54.3,bottom,90
D28,-159.9,-54.3,bottom,90
D29,-178.95,-54.3,bottom,90
D30,-198,-54.3,bottom,90
D31,-217.05,-54.3,bottom,90
D32,-236.1,-54.3,bottom,90
D33,-255.15,-54.3,bottom,90
D34,-283.75,-54.3,bottom,90
D35,-319.25,-54.3,bottom,90
D36,-338.3,-54.3,bottom,90
D37,-357.35,-54.3,bottom,90
D38,-368.35,-60,bottom,-90
D39,-387.4,-60,bottom,-90
D40,-421.45,-54.3,bottom,90
D41,-439.5,-54.3,bottom,90
D44,-31.3,-73.35,bottom,90
D45,-55.1,-73.35,bottom,90
D46,-74.15,-73.35,bottom,90
D47,-93.25,-73.35,bottom,90
D48,-112.3,-73.35,bottom,90
D49,-131.35,-73.35,bottom,90
D50,-150.35,-73.35,bottom,90
D51,-169.4,-73.35,bottom,90
D52,-188.45,-73.35,bottom,90
D53,-207.55,-73.35,bottom,90
D54,-226.6,-73.35,bottom,90
D55,-245.6,-73.35,bottom,90
D56,-264.65,-73.35,bottom,90
D57,-288.5,-73.35,bottom,90
D58,-319.25,-73.35,bottom,90
D59,-338.3,-73.35,bottom,90
D60,-357.35,-73.35,bottom,90
D61,-383.35,-73.35,bottom,90
D62,-402.4,-73.35,bottom,90
D63,-421.45,-73.35,bottom,90
D64,-439.5,-73.35,bottom,90
D67,-33.7,-92.4,bottom,90
D68,-59.9,-92.4,bottom,90
D69,-78.95,-92.4,bottom,90
D70,-98,-92.4,bottom,90
D71,-117.05,-92.4,bottom,90
D72,-136.1,-92.4,bottom,90
D73,-155.15,-92.4,bottom,90
D74,-174.2,-92.4,bottom,90
D75,-193.25,-92.4,bottom,90
D76,-212.3,-92.4,bottom,90
D77,-231.35,-92.4,bottom,90
D78,-250.4,-92.4,bottom,90
D79,-281.35,-92.4,bottom,90
D83,-383.35,-92.4,bottom,90
D84,-402.4,-92.4,bottom,90
D85,-421.45,-92.4,bottom,90
D86,-425.5,-98.1,bottom,-90
D89,-26.25,-114.3,bottom,90
D90,-69.4,-111.45,bottom,90
D91,-88.45,-111.45,bottom,90
D92,-107.5,-111.45,bottom,90
D93,-126.55,-111.45,bottom,90
D94,-145.6,-111.45,bottom,90
D95,-164.65,-111.45,bottom,90
D96,-183.7,-111.45,bottom,90
D97,-202.75,-111.45,bottom,90
D98,-221.8,-111.45,bottom,90
D99,-240.85,-111.45,bottom,90
D100,-264.25,-114.3,bottom,90
D101,-293.25,-111.45,bottom,90
D102,-338.3,-111.45,bottom,90
D105,-383.35,-111.45,bottom,90
D106,-402.4,-111.45,bottom,90
D107,-421.45,-111.45,bottom,90
D108,-428.5,-116.3,bottom,-90
D111,-28.95,-130.5,bottom,90
D112,-52.75,-130.5,bottom,90
D113,-76.55,-130.5,bottom,90
D114,-146.45,-130.5,bottom,90
D115,-219.45,-130.5,bottom,90
D116,-264.65,-135.7,bottom,-90
D117,-267.05,-130.5,bottom,90
D118,-290.85,-130.5,bottom,90
D119,-319.25,-130.5,bottom,90
D120,-338.3,-130.5,bottom,90
D121,-357.35,-130.5,bottom,90
D122,-392.85,-130.5,bottom,90
D123,-421.45,-130.5,bottom,90
D124,-50.35,-111.45,bottom,90
R5,-373.025,-21.45,bottom,-90
R6,-401.5,-26.3,bottom,90
R7,-427,-26.3,bottom,90
